192.168.0.180 - - [13/Apr/2021:21:20:25 +0400] "GET / HTTP/1.1" 200 11354
127.0.0.1 - - [13/Apr/2021:22:23:50 +0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [13/Apr/2021:22:23:50 +0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Apr/2021:22:23:50 +0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [13/Apr/2021:22:23:50 +0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Apr/2021:22:23:51 +0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [13/Apr/2021:22:23:51 +0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Apr/2021:22:23:52 +0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [13/Apr/2021:22:23:52 +0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Apr/2021:22:23:53 +0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [13/Apr/2021:22:23:53 +0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Apr/2021:22:23:54 +0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [13/Apr/2021:22:23:54 +0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Apr/2021:22:23:55 +0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [13/Apr/2021:22:23:55 +0400] "GET /manager/text/ HTTP/1.1" 200 39
